"","listings1$id","host_response_time","host_neighbourhood","zipcode","host_is_superhost","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","bed_type","calendar_updated","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","reviews_per_month","days_btwn_host_review","days_since_last_review","days_since_1st_review","host_response_rate","host_acceptance_rate","host_listings_count","accommodates","bathrooms","bedrooms","beds","price","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","calculated_host_listings_count","count_host_verf","count_amen","days_host_since","weekly_price","monthly_price","security_deposit","cleaning_fee"
"1",12147973,"NA","Roslindale","2131","f","['email', 'phone', 'facebook', 'reviews']","t","f","Roslindale","t","House","Entire home/apt","Real Bed","2 weeks ago","f","moderate","f","f",94,10,10,10,10,10,9,1.17,377,49,359,1,0.94,1,4,1.5,2,3,250,1,1,2,1125,0,0,0,0,0,1,4,12,535,NA,NA,NA,35
"2",3075044,"within an hour","Roslindale","2131","f","['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio']","t","t","Roslindale","t","Apartment","Private room","Real Bed","a week ago","t","moderate","f","f",94,10,9,10,10,9,9,1.3,724,49,853,1,1,1,2,1,1,1,65,0,1,2,15,26,54,84,359,36,1,7,13,1577,400,NA,95,10
"3",6976,"within a few hours","Roslindale","2131","t","['email', 'phone', 'reviews', 'jumio']","t","t","Roslindale","t","Apartment","Private room","Real Bed","5 days ago","f","moderate","t","f",98,10,9,10,10,9,10,0.47,69,57,2631,1,0.88,1,2,1,1,1,65,1,13,3,45,19,46,61,319,41,1,4,12,2700,395,1350,NA,NA
"4",1436513,"within a few hours","NA","NA","f","['email', 'phone', 'reviews']","t","f","Roslindale","f","House","Private room","Real Bed","a week ago","f","moderate","f","f",100,10,10,10,10,10,10,1,1225,34,34,1,0.5,1,4,1,1,2,75,2,17,1,1125,6,16,26,98,1,1,3,16,1259,NA,NA,100,50
"5",7651065,"within an hour","Roslindale","2131","t","['email', 'phone', 'reviews', 'kba']","t","t","Roslindale","t","House","Private room","Real Bed","2 weeks ago","f","flexible","f","f",99,10,10,10,10,9,10,2.25,464,30,410,1,1,1,2,1.5,1,2,79,1,1,2,31,13,34,59,334,29,1,4,10,874,NA,NA,NA,15
"6",12386020,"within a few hours","Roslindale","2131","t","['email', 'phone', 'reviews', 'kba']","t","t","Roslindale","t","Condominium","Private room","Real Bed","2 weeks ago","f","flexible","f","f",100,10,10,10,10,9,10,1.7,28,34,164,1,0.95,2,2,1,1,1,75,1,1,2,1125,5,28,58,58,8,1,4,11,192,NA,NA,NA,30
"7",5706985,"within an hour","Roslindale","2131","f","['email', 'phone', 'reviews', 'jumio', 'kba']","t","t","Roslindale","f","Apartment","Entire home/apt","Real Bed","3 days ago","f","strict","f","f",90,10,10,10,10,9,9,4,774,30,451,0.98,0.96,5,3,1,1,2,100,1,17,1,1125,22,39,69,344,57,3,5,10,1225,NA,NA,NA,NA
"8",2843445,"within a few hours","Roslindale","2131","t","['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","Roslindale","t","House","Private room","Real Bed","yesterday","f","moderate","t","t",96,10,10,10,10,10,10,2.38,651,27,867,1,1,2,2,2,1,1,75,1,7,1,1125,30,60,90,365,67,2,5,15,1518,NA,NA,NA,10
"9",753446,"within an hour","Roslindale","2131","t","['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","Roslindale","t","Condominium","Private room","Real Bed","today","f","moderate","f","f",96,10,10,10,10,9,10,5.36,1051,32,387,1,1,1,2,1,1,2,58,2,1,2,1125,12,42,72,347,65,1,5,7,1438,NA,NA,NA,NA
"10",849408,"within an hour","Roslindale","2131","t","['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","Roslindale","t","Apartment","Entire home/apt","Real Bed","today","f","strict","f","f",94,10,9,10,10,9,9,1.01,380,127,1003,1,1,2,5,1,2,2,229,4,17,4,10,20,50,80,107,33,2,5,15,1383,NA,NA,200,50
